Price ID,Product Name,Amount,Interval
price_1GrDULK9cC716JE2yBja0Vu5,"Better - 13""",1500,year
price_1GrDULK9cC716JE2UOeMfwYJ,"Better - 13""",1500,month
price_1GrDTdK9cC716JE2qaXHmAab,"Better - 12""",1400,year
price_1GrDTdK9cC716JE2LiYchf5X,"Better - 12""",1400,month
price_1GrDS7K9cC716JE2AzUxzFkX,"Good  - 12""",1200,year
price_1GrDRbK9cC716JE2aad7G1F2,"Good - 13""",1300,year
price_1GrDR7K9cC716JE23EXW6WHl,"Good - 14""",1400,year
price_1GrDPCK9cC716JE2RPxSaY8u,"Good - 26""",2600,year
price_1GrDPCK9cC716JE2N63KrBx1,"Good - 26""",2600,month
price_1GrDOkK9cC716JE2wZvY204g,"Good - 24""",2400,year
price_1GrDOkK9cC716JE2hQeyipil,"Good - 24""",2400,month
price_1GrDO2K9cC716JE2m72serT5,"Good - 22""",2200,year
price_1GrDO1K9cC716JE2X6ot075Z,"Good - 22""",2200,month
price_1GrDMwK9cC716JE20LNjg6Qq,"Good - 21""",2100,year
price_1GrDMvK9cC716JE2iea6cGCe,"Good - 21""",2100,month
price_1GrDMSK9cC716JE2LfV3amqO,"Good - 20""",2000,year
price_1GrDMRK9cC716JE2YtLsxCAr,"Good - 20""",2000,month
price_1GrDLlK9cC716JE2xHwzXrMH,"Good - 19""",1900,year
price_1GrDLlK9cC716JE2S8H6ZZ4d,"Good - 19""",1900,month
price_1GrDLHK9cC716JE2c5RlJFtI,"Good - 18""",1800,year
price_1GrDLGK9cC716JE2hu4tvNFl,"Good - 18""",1800,month
price_1GrDKnK9cC716JE2g86pCN5A,"Good - 17""",1700,year
price_1GrDKmK9cC716JE2hPkfytOH,"Good - 17""",1700,month
price_1GrDKCK9cC716JE2qt6QPiD5,"Good - 16""",1600,year
price_1GrDKCK9cC716JE2HZw2sdtk,"Good - 16""",1600,month
price_1GrDHyK9cC716JE2OFJIppsk,"Good - 14""",1400,month
price_1GrDHKK9cC716JE26cFkf08x,"Good - 13""",1300,month
price_1GrDGqK9cC716JE2juEwFRGP,"Good - 12""",1200,month
